Level,Floor Group,Floorplate,Residence Type,Bedroom Configuration,Type / Variant,Unit Plan File,Brochure Page,Notes,Verification Status
01,"Levels 01, 05, 07 and 11",floorplates-web/floorplate-l01-05-07-11.webp,1 BHK,1,A,units-web/unit-l01-05-07-11-1bhk-a.webp,Floorplate p52; unit p31,,VERIFIED
01,"Levels 01, 05, 07 and 11",floorplates-web/floorplate-l01-05-07-11.webp,1 BHK,1,A′,units-web/unit-l01-05-07-11-1bhk-a-prime.webp,Floorplate p52; unit p31,,VERIFIED
01,"Levels 01, 05, 07 and 11",floorplates-web/floorplate-l01-05-07-11.webp,1 BHK + Study,1,B,units-web/unit-l01-05-07-11-1bhk-study-b.webp,Floorplate p52; unit p32,,VERIFIED
01,"Levels 01, 05, 07 and 11",floorplates-web/floorplate-l01-05-07-11.webp,1 BHK + Study,1,B′,units-web/unit-l01-05-07-11-1bhk-study-b-prime.webp,Floorplate p52; unit p32,,VERIFIED
01,"Levels 01, 05, 07 and 11",floorplates-web/floorplate-l01-05-07-11.webp,2 BHK + Maid Room,2,A,units-web/unit-l01-05-07-11-2bhk-maidroom-a.webp,Floorplate p52; unit p33,,VERIFIED
01,"Levels 01, 05, 07 and 11",floorplates-web/floorplate-l01-05-07-11.webp,2 BHK + Maid Room,2,A′,units-web/unit-l01-05-07-11-2bhk-maidroom-a-prime.webp,Floorplate p52; unit p33,,VERIFIED
02,"Levels 02, 04, 08 and 10",floorplates-web/floorplate-l02-04-08-10.webp,1 BHK,1,A,units-web/unit-l02-04-08-10-1bhk-a.webp,Floorplate p53; unit p34,,VERIFIED
02,"Levels 02, 04, 08 and 10",floorplates-web/floorplate-l02-04-08-10.webp,1 BHK,1,A′,units-web/unit-l02-04-08-10-1bhk-a-prime.webp,Floorplate p53; unit p34,,VERIFIED
02,"Levels 02, 04, 08 and 10",floorplates-web/floorplate-l02-04-08-10.webp,1 BHK + Study,1,B,units-web/unit-l02-04-08-10-1bhk-study-b.webp,Floorplate p53; unit p35,,VERIFIED
02,"Levels 02, 04, 08 and 10",floorplates-web/floorplate-l02-04-08-10.webp,1 BHK + Study,1,B′,units-web/unit-l02-04-08-10-1bhk-study-b-prime.webp,Floorplate p53; unit p35,,VERIFIED
02,"Levels 02, 04, 08 and 10",floorplates-web/floorplate-l02-04-08-10.webp,2 BHK + Maid Room,2,A,units-web/unit-l02-04-08-10-2bhk-maidroom-a.webp,Floorplate p53; unit p36,,VERIFIED
02,"Levels 02, 04, 08 and 10",floorplates-web/floorplate-l02-04-08-10.webp,2 BHK + Maid Room,2,A′,units-web/unit-l02-04-08-10-2bhk-maidroom-a-prime.webp,Floorplate p53; unit p36,,VERIFIED
03,Levels 03 and 09,floorplates-web/floorplate-l03-09.webp,1 BHK,1,A,units-web/unit-l03-09-1bhk-a.webp,Floorplate p54; unit p37,,VERIFIED
03,Levels 03 and 09,floorplates-web/floorplate-l03-09.webp,1 BHK,1,A′,units-web/unit-l03-09-1bhk-a-prime.webp,Floorplate p54; unit p37,,VERIFIED
03,Levels 03 and 09,floorplates-web/floorplate-l03-09.webp,1 BHK + Study,1,B,units-web/unit-l03-09-1bhk-study-b.webp,Floorplate p54; unit p38,,VERIFIED
03,Levels 03 and 09,floorplates-web/floorplate-l03-09.webp,1 BHK + Study,1,B′,units-web/unit-l03-09-1bhk-study-b-prime.webp,Floorplate p54; unit p38,,VERIFIED
03,Levels 03 and 09,floorplates-web/floorplate-l03-09.webp,2 BHK + Maid Room,2,A,units-web/unit-l03-09-2bhk-maidroom-a.webp,Floorplate p54; unit p39,,VERIFIED
03,Levels 03 and 09,floorplates-web/floorplate-l03-09.webp,2 BHK + Maid Room,2,A′,units-web/unit-l03-09-2bhk-maidroom-a-prime.webp,Floorplate p54; unit p39,,VERIFIED
04,"Levels 02, 04, 08 and 10",floorplates-web/floorplate-l02-04-08-10.webp,1 BHK,1,A,units-web/unit-l02-04-08-10-1bhk-a.webp,Floorplate p53; unit p34,,VERIFIED
04,"Levels 02, 04, 08 and 10",floorplates-web/floorplate-l02-04-08-10.webp,1 BHK,1,A′,units-web/unit-l02-04-08-10-1bhk-a-prime.webp,Floorplate p53; unit p34,,VERIFIED
04,"Levels 02, 04, 08 and 10",floorplates-web/floorplate-l02-04-08-10.webp,1 BHK + Study,1,B,units-web/unit-l02-04-08-10-1bhk-study-b.webp,Floorplate p53; unit p35,,VERIFIED
04,"Levels 02, 04, 08 and 10",floorplates-web/floorplate-l02-04-08-10.webp,1 BHK + Study,1,B′,units-web/unit-l02-04-08-10-1bhk-study-b-prime.webp,Floorplate p53; unit p35,,VERIFIED
04,"Levels 02, 04, 08 and 10",floorplates-web/floorplate-l02-04-08-10.webp,2 BHK + Maid Room,2,A,units-web/unit-l02-04-08-10-2bhk-maidroom-a.webp,Floorplate p53; unit p36,,VERIFIED
04,"Levels 02, 04, 08 and 10",floorplates-web/floorplate-l02-04-08-10.webp,2 BHK + Maid Room,2,A′,units-web/unit-l02-04-08-10-2bhk-maidroom-a-prime.webp,Floorplate p53; unit p36,,VERIFIED
05,"Levels 01, 05, 07 and 11",floorplates-web/floorplate-l01-05-07-11.webp,1 BHK,1,A,units-web/unit-l01-05-07-11-1bhk-a.webp,Floorplate p52; unit p31,,VERIFIED
05,"Levels 01, 05, 07 and 11",floorplates-web/floorplate-l01-05-07-11.webp,1 BHK,1,A′,units-web/unit-l01-05-07-11-1bhk-a-prime.webp,Floorplate p52; unit p31,,VERIFIED
05,"Levels 01, 05, 07 and 11",floorplates-web/floorplate-l01-05-07-11.webp,1 BHK + Study,1,B,units-web/unit-l01-05-07-11-1bhk-study-b.webp,Floorplate p52; unit p32,,VERIFIED
05,"Levels 01, 05, 07 and 11",floorplates-web/floorplate-l01-05-07-11.webp,1 BHK + Study,1,B′,units-web/unit-l01-05-07-11-1bhk-study-b-prime.webp,Floorplate p52; unit p32,,VERIFIED
05,"Levels 01, 05, 07 and 11",floorplates-web/floorplate-l01-05-07-11.webp,2 BHK + Maid Room,2,A,units-web/unit-l01-05-07-11-2bhk-maidroom-a.webp,Floorplate p52; unit p33,,VERIFIED
05,"Levels 01, 05, 07 and 11",floorplates-web/floorplate-l01-05-07-11.webp,2 BHK + Maid Room,2,A′,units-web/unit-l01-05-07-11-2bhk-maidroom-a-prime.webp,Floorplate p52; unit p33,,VERIFIED
06,Level 06,floorplates-web/floorplate-l06.webp,1 BHK,1,A,units-web/unit-l06-1bhk-a.webp,Floorplate p55; unit p40,,VERIFIED
06,Level 06,floorplates-web/floorplate-l06.webp,1 BHK,1,A′,units-web/unit-l06-1bhk-a-prime.webp,Floorplate p55; unit p40,,VERIFIED
06,Level 06,floorplates-web/floorplate-l06.webp,1 BHK + Study,1,B,units-web/unit-l06-1bhk-study-b.webp,Floorplate p55; unit p41,,VERIFIED
06,Level 06,floorplates-web/floorplate-l06.webp,1 BHK + Study,1,B′,units-web/unit-l06-1bhk-study-b-prime.webp,Floorplate p55; unit p41,,VERIFIED
06,Level 06,floorplates-web/floorplate-l06.webp,2 BHK + Maid Room,2,A,units-web/unit-l06-2bhk-maidroom-a.webp,Floorplate p55; unit p42,,VERIFIED
06,Level 06,floorplates-web/floorplate-l06.webp,2 BHK + Maid Room,2,A′,units-web/unit-l06-2bhk-maidroom-a-prime.webp,Floorplate p55; unit p42,,VERIFIED
07,"Levels 01, 05, 07 and 11",floorplates-web/floorplate-l01-05-07-11.webp,1 BHK,1,A,units-web/unit-l01-05-07-11-1bhk-a.webp,Floorplate p52; unit p31,,VERIFIED
07,"Levels 01, 05, 07 and 11",floorplates-web/floorplate-l01-05-07-11.webp,1 BHK,1,A′,units-web/unit-l01-05-07-11-1bhk-a-prime.webp,Floorplate p52; unit p31,,VERIFIED
07,"Levels 01, 05, 07 and 11",floorplates-web/floorplate-l01-05-07-11.webp,1 BHK + Study,1,B,units-web/unit-l01-05-07-11-1bhk-study-b.webp,Floorplate p52; unit p32,,VERIFIED
07,"Levels 01, 05, 07 and 11",floorplates-web/floorplate-l01-05-07-11.webp,1 BHK + Study,1,B′,units-web/unit-l01-05-07-11-1bhk-study-b-prime.webp,Floorplate p52; unit p32,,VERIFIED
07,"Levels 01, 05, 07 and 11",floorplates-web/floorplate-l01-05-07-11.webp,2 BHK + Maid Room,2,A,units-web/unit-l01-05-07-11-2bhk-maidroom-a.webp,Floorplate p52; unit p33,,VERIFIED
07,"Levels 01, 05, 07 and 11",floorplates-web/floorplate-l01-05-07-11.webp,2 BHK + Maid Room,2,A′,units-web/unit-l01-05-07-11-2bhk-maidroom-a-prime.webp,Floorplate p52; unit p33,,VERIFIED
08,"Levels 02, 04, 08 and 10",floorplates-web/floorplate-l02-04-08-10.webp,1 BHK,1,A,units-web/unit-l02-04-08-10-1bhk-a.webp,Floorplate p53; unit p34,,VERIFIED
08,"Levels 02, 04, 08 and 10",floorplates-web/floorplate-l02-04-08-10.webp,1 BHK,1,A′,units-web/unit-l02-04-08-10-1bhk-a-prime.webp,Floorplate p53; unit p34,,VERIFIED
